id,umami_glutamic_acid,salty_salt,acidity_organic_acid,acidity_aspartic_acid,bitter_caffeine,bitter_phenylalanine,bitter_tyrosine,bitter_arginine,bitter_isoleucine,bitter_leucine,bitter_valine,bitter_methionine,bitter_histidine,sweet_fructose,sweet_glucose,sweet_galactose,sweet_sucrose,sweet_maltose,sweet_lactose,sweet_trehalose,sweet_sorbitol,sweet_mannitol,sweet_glycine,sweet_alanine,sweet_threonine,sweet_proline,sweet_serine
0,12,0,0.5,46,-1,3.1,1.2,2.6,3.7,5.6,4.2,1.7,2.1,6,1.4,0,4.8,0,0,-1,0.7,-1,3.6,5.1,3.6,3.5,4.3
1,12,0,0.5,46,-1,3.1,1.2,2.6,3.7,5.6,4.2,1.7,2.1,6,1.4,0,4.8,0,0,-1,0.7,-1,3.6,5.1,3.6,3.5,4.3
2,12,0,0.5,46,-1,3.1,1.2,2.6,3.7,5.6,4.2,1.7,2.1,6,1.4,0,4.8,0,0,-1,0.7,-1,3.6,5.1,3.6,3.5,4.3
3,36,0,-1,52,-1,10,6,37,10,18,14,4.2,7.1,1.9,1.6,-1,5.2,0,0,-1,-1,-1,12,23,11,51,21
4,36,0,-1,52,-1,10,6,37,10,18,14,4.2,7.1,1.9,1.6,-1,5.2,0,0,-1,-1,-1,12,23,11,51,21
5,36,0,-1,52,-1,10,6,37,10,18,14,4.2,7.1,1.9,1.6,-1,5.2,0,0,-1,-1,-1,12,23,11,51,21
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
